Region,Site,Transect,Family,Genus,Species,Length,Comment,a,b,MaxSizeTL,Diet,Position,sstmean,Biomass,Kmax,Kmax_lowq,Kmax_uppq,somatic_G,Md,Fate
Trop3,Tiaoshi,T3,Labridae,Halichoeres,Halichoeres hortulanus,8.250405,,0.00933,3.09,27,InvMob,BtPlDw,27.36245903,6.335636056,0.543084115,0.486077785,0.618706554,0.066381816,0.009932872,TRUE
Trop3,Tiaoshi,T3,Chaetodontidae,Chaetodon,Chaetodon lunulatus,5.443681,,0.02291,3,26.7,InvSes,BtPlDw,27.36245903,3.695754309,0.61385411,0.548116505,0.719327062,0.073227364,0.021578601,TRUE
Trop3,Tiaoshi,T3,Pomacentridae,Chromis,Chromis margaritifer,5.956591,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.36245903,3.325458233,1.439081371,1.209460139,1.705173612,0.027762608,0.010946928,TRUE
Trop3,Tiaoshi,T3,Chaetodontidae,Chaetodon,Chaetodon lunulatus,9.081466,,0.02291,3,26.7,InvSes,BtPlDw,27.36245903,17.15903947,0.61385411,0.548116505,0.719327062,0.168364388,0.009466281,TRUE
Trop3,Tiaoshi,T3,Pomacentridae,Chromis,Chromis margaritifer,4.46125,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.36245903,1.409269569,1.439081371,1.209460139,1.705173612,0.021291749,0.017434666,TRUE
Trop3,Tiaoshi,T3,Pomacentridae,Chromis,Chromis margaritifer,5.286337,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.36245903,2.33280254,1.439081371,1.209460139,1.705173612,0.025432276,0.013266593,TRUE
Trop3,Tiaoshi,T3,Tetraodontidae,Canthigaster,Canthigaster valentini,9.24194,,0.03388,2.85,11,Omnivr,BtPlDw,27.36245903,19.15880266,0.767604619,0.65977031,0.899041131,0.021828929,0.003209471,TRUE
Trop3,Tiaoshi,T3,Pinguipedidae,Parapercis,Parapercis millepunctata,14.744758,,0.00692,3.06,18,InvMob,BnthAs,27.36245903,26.06977606,0.784706503,0.672341928,0.909248933,0.037841127,0.003143129,TRUE
Trop3,Tiaoshi,T3,Pseudochromidae,Labracinus,Labracinus cyclophthalmus,13.860627,,0.01995,3.01,23.5,FisCep,BtPlDw,27.36245903,54.53927472,0.484550461,0.413330629,0.532147989,0.151601083,0.00314757,TRUE
Trop3,Tiaoshi,T3,Pomacentridae,Chromis,Chromis margaritifer,5.534327,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.36245903,2.673071602,1.439081371,1.209460139,1.705173612,0.026422349,0.012322657,TRUE
Trop3,Tiaoshi,T3,Pomacentridae,Pomacentrus,Pomacentrus coelestis,4.190705,,0.01445,2.95,9,Plktiv,BtPlDw,27.36245903,0.989953427,0.726795018,0.5995951,0.845137373,0.006681656,0.0081322,TRUE
Trop3,Tiaoshi,T3,Chaetodontidae,Chaetodon,Chaetodon trifascialis,11.814261,,0.02138,2.95,18,InvSes,BtPlDw,27.36245903,31.16068929,0.50073424,0.423588656,0.594335064,0.066028977,0.002865459,TRUE
Trop3,Tiaoshi,T3,Pomacentridae,Chromis,Chromis margaritifer,6.03797,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.36245903,3.462216423,1.439081371,1.209460139,1.705173612,0.027965418,0.010710365,TRUE
Trop3,Tiaoshi,T3,Pomacentridae,Chromis,Chromis margaritifer,4.413678,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.36245903,1.365104841,1.439081371,1.209460139,1.705173612,0.021021606,0.017738205,TRUE
Trop3,Tiaoshi,T3,Labridae,Hologymnosus,Hologymnosus annulatus,4.599613,,0.00977,3.07,40,FisCep,BtPlDw,27.36245903,1.057910512,0.295447394,0.266096421,0.326580554,0.020355506,0.024380038,TRUE
Trop3,Tiaoshi,T3,Labridae,Hologymnosus,Hologymnosus annulatus,4.291165,,0.00977,3.07,40,FisCep,BtPlDw,27.36245903,0.854870775,0.295447394,0.266096421,0.326580554,0.017794019,0.027262744,TRUE
Trop3,Tiaoshi,T3,Pomacentridae,Dascyllus,Dascyllus reticulatus,2.724692,,0.02951,2.99,9,Plktiv,BtPlDw,27.36245903,0.590973879,0.726795018,0.5995951,0.845137373,0.008132463,0.016264069,TRUE
Trop3,Tiaoshi,T3,Labridae,Gomphosus,Gomphosus varius,4.148279,,0.00631,2.97,35.1,InvMob,BtPlDw,27.36245903,0.431615661,0.371156871,0.341715135,0.413514495,0.009793866,0.029964114,TRUE
Trop3,Tiaoshi,T3,Ptereleotridae,Ptereleotris,Ptereleotris evides,12.222549,,0.00389,3.12,14,Plktiv,BtPlDw,27.36245903,9.591673276,0.809038997,0.740465268,0.927466109,0.009638921,0.003052337,TRUE
Trop3,Tiaoshi,T3,Ptereleotridae,Ptereleotris,Ptereleotris evides,14,,0.00389,3.12,14,Plktiv,BtPlDw,27.36245903,14.65106087,0.809038997,0.740465268,0.927466109,0,0.002452996,TRUE
Trop3,Tiaoshi,T3,Chaetodontidae,Chaetodon,Chaetodon baronessa,9.1047,,0.02344,3,16,InvSes,BtPlDw,27.36245903,17.69108741,0.614918709,0.514697313,0.733355537,0.06774479,0.004517539,TRUE
Trop3,Tiaoshi,T3,Chaetodontidae,Chaetodon,Chaetodon baronessa,9.1047,,0.02344,3,16,InvSes,BtPlDw,27.36245903,17.69108741,0.614918709,0.514697313,0.733355537,0.06774479,0.004517539,TRUE
Trop3,Tiaoshi,T4,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon dickii,7.449469,,0.01995,2.98,11.6,Omnivr,BtPlDw,27.36245903,7.922757174,1.006149352,0.867740974,1.124909282,0.036266142,0.006425831,TRUE
Trop3,Tiaoshi,T4,Pomacentridae,Chromis,Chromis margaritifer,5.599095,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.36245903,2.767056721,1.439081371,1.209460139,1.705173612,0.026657474,0.012093973,TRUE
Trop3,Tiaoshi,T4,Pomacentridae,Chromis,Chromis margaritifer,4.854849,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.36245903,1.811548627,1.439081371,1.209460139,1.705173612,0.023408805,0.015215835,TRUE
Trop3,Tiaoshi,T4,Pseudochromidae,Labracinus,Labracinus cyclophthalmus,11.014972,,0.01995,3.01,23.5,FisCep,BtPlDw,27.36245903,27.30944829,0.484550461,0.413330629,0.532147989,0.123794003,0.004556722,TRUE
Trop3,Tiaoshi,T4,Labridae,Bodianus,Bodianus mesothorax,8.079986,,0.01202,3.05,25,InvMob,BtPlDw,27.36245903,7.038932863,0.389497235,0.353445314,0.439818263,0.048058525,0.006594411,TRUE
Trop3,Tiaoshi,T4,Pomacentridae,Dascyllus,Dascyllus reticulatus,8.24218,,0.02951,2.99,9,Plktiv,BtPlDw,27.36245903,16.17838153,0.726795018,0.5995951,0.845137373,0.008849037,0.002736922,TRUE
Trop3,Tiaoshi,T4,Zanclidae,Zanclus,Zanclus cornutus,10.624526,,0.01738,3.06,23,InvSes,BtPlDw,27.36245903,24.01911696,0.546505153,0.475392781,0.628266394,0.128317648,0.005280719,TRUE
Trop3,Tiaoshi,T4,Pomacentridae,Dascyllus,Dascyllus reticulatus,7.402686,,0.02951,2.99,9,Plktiv,BtPlDw,27.36245903,11.73392481,0.726795018,0.5995951,0.845137373,0.015065643,0.00325367,TRUE
Trop3,Tiaoshi,T4,Pomacentridae,Dascyllus,Dascyllus reticulatus,6.746812,,0.02951,2.99,9,Plktiv,BtPlDw,27.36245903,8.891479868,0.726795018,0.5995951,0.845137373,0.017673309,0.003777822,TRUE
Trop3,Tiaoshi,T4,Pomacentridae,Dascyllus,Dascyllus reticulatus,7.263104,,0.02951,2.99,9,Plktiv,BtPlDw,27.36245903,11.08472123,0.726795018,0.5995951,0.845137373,0.015773927,0.00335493,TRUE
Trop3,Tiaoshi,T4,Pomacentridae,Dascyllus,Dascyllus reticulatus,5.804291,,0.02951,2.99,9,Plktiv,BtPlDw,27.36245903,5.669950287,0.726795018,0.5995951,0.845137373,0.018587819,0.004813424,TRUE
Trop3,Tiaoshi,T4,Pomacentridae,Dascyllus,Dascyllus reticulatus,5.620052,,0.02951,2.99,9,Plktiv,BtPlDw,27.36245903,5.148643338,0.726795018,0.5995951,0.845137373,0.018438998,0.005070004,TRUE
Trop3,Tiaoshi,T4,Pomacentridae,Chromis,Chromis margaritifer,4.823847,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.36245903,1.777406877,1.439081371,1.209460139,1.705173612,0.023250519,0.015373584,TRUE
Trop3,Tiaoshi,T4,Pomacentridae,Dascyllus,Dascyllus reticulatus,8.593759,,0.02951,2.99,9,Plktiv,BtPlDw,27.36245903,18.33060879,0.726795018,0.5995951,0.845137373,0.005154376,0.002558912,TRUE
Trop3,Tiaoshi,T4,Chaetodontidae,Chaetodon,Chaetodon baronessa,10.577955,,0.02344,3,16,InvSes,BtPlDw,27.36245903,27.74359607,0.614918709,0.514697313,0.733355537,0.071875212,0.003548402,TRUE
Trop3,Tiaoshi,T4,Chaetodontidae,Chaetodon,Chaetodon baronessa,10.434347,,0.02344,3,16,InvSes,BtPlDw,27.36245903,26.62891267,0.614918709,0.514697313,0.733355537,0.07179174,0.003627359,TRUE
Trop3,Tiaoshi,T4,Pomacentridae,Neoglyphidodon,Neoglyphidodon nigroris,8.518579,,0.01905,2.99,13,Omnivr,BtPlDw,27.36245903,11.52637579,0.825639009,0.730142459,0.927149922,0.04101402,0.005006643,TRUE
Trop3,Tiaoshi,T4,Acanthuridae,Acanthurus,Acanthurus nigrofuscus,13.668316,Cf,0.02512,2.96,21,HerDet,BtPlDw,27.36245903,57.77448288,0.615664601,0.543457657,0.707336411,0.154734195,0.003478627,TRUE
Trop3,Tiaoshi,T4,Pomacentridae,Chromis,Chromis margaritifer,4.940766,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.36245903,1.908433874,1.439081371,1.209460139,1.705173612,0.023839048,0.014792102,TRUE
Trop3,Tiaoshi,T4,Acanthuridae,Acanthurus,Acanthurus sp,13.889086,,0.02748,2.95,23,HerDet,BtPlDw,27.36245903,64.55115927,0.605141193,0.504531667,0.667266011,0.207146823,0.003798475,TRUE
Trop3,Tiaoshi,T4,Acanthuridae,Acanthurus,Acanthurus sp,13.889086,,0.02748,2.95,23,HerDet,BtPlDw,27.36245903,64.55115927,0.605141193,0.504531667,0.667266011,0.207146823,0.003798475,TRUE
Trop3,Tiaoshi,T4,Pomacentridae,Chromis,Chromis margaritifer,4.219114,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.36245903,1.194029978,1.439081371,1.209460139,1.705173612,0.019890078,0.019073591,TRUE
Trop3,Tiaoshi,T4,Labridae,Thalassoma,Thalassoma hardwicke,7.171438,,0.00955,3.05,20,InvMob,BtPlDw,27.36245903,3.886891595,0.611157715,0.524100289,0.698375955,0.035587908,0.009092421,TRUE
Trop3,Tiaoshi,T4,Pomacanthidae,Centropyge,Centropyge vrolikii,6.777934,,0.0309,2.89,12,HerDet,BtPlDw,27.36245903,7.795245178,1.435146391,1.281608224,1.651152313,0.068306593,0.011205199,TRUE
Trop3,Tiaoshi,T4,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon dickii,6.461067,,0.01995,2.98,11.6,Omnivr,BtPlDw,27.36245903,5.183815656,1.006149352,0.867740974,1.124909282,0.033895862,0.008080928,TRUE
Trop3,Tiaoshi,T4,Chaetodontidae,Chaetodon,Chaetodon baronessa,9.789671,,0.02344,3,16,InvSes,BtPlDw,27.36245903,21.99185674,0.614918709,0.514697313,0.733355537,0.070526511,0.004019601,TRUE
Trop3,Tiaoshi,T4,Chaetodontidae,Chaetodon,Chaetodon baronessa,11.419096,,0.02344,3,16,InvSes,BtPlDw,27.36245903,34.90219813,0.614918709,0.514697313,0.733355537,0.070753153,0.00313713,TRUE
Trop3,Tiaoshi,T4,Pomacentridae,Chromis,Chromis margaritifer,4.844541,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.36245903,1.800148845,1.439081371,1.209460139,1.705173612,0.023356351,0.015267993,TRUE
Trop3,Tiaoshi,T4,Pomacentridae,Chromis,Chromis margaritifer,3.533482,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.36245903,0.705132369,1.439081371,1.209460139,1.705173612,0.015661441,0.02537652,TRUE
Trop3,Tiaoshi,T4,Pomacentridae,Chromis,Chromis margaritifer,3.025907,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.36245903,0.44488642,1.439081371,1.209460139,1.705173612,0.012440511,0.03257326,FALSE
Trop3,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus trimaculatus,3.019559,,0.03467,2.93,14,Omnivr,BtPlDw,27.36245903,0.883462978,0.804408759,0.725653201,0.91960524,0.020882768,0.028824461,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Amphiprion,Amphiprion clarkii,5.100479,,0.02344,2.99,20.1,Omnivr,BtPlDw,27.36245903,3.059950416,0.547908992,0.491574541,0.637776539,0.040536515,0.014211051,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Chromis,Chromis margaritifer,4.302831,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.36245903,1.265780282,1.439081371,1.209460139,1.705173612,0.020381943,0.018479674,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus trimaculatus,2.345639,,0.03467,2.93,14,Omnivr,BtPlDw,27.36245903,0.421520869,0.804408759,0.725653201,0.91960524,0.013651953,0.043286231,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus trimaculatus,2.345639,,0.03467,2.93,14,Omnivr,BtPlDw,27.36245903,0.421520869,0.804408759,0.725653201,0.91960524,0.013651953,0.043286231,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus trimaculatus,2.345639,,0.03467,2.93,14,Omnivr,BtPlDw,27.36245903,0.421520869,0.804408759,0.725653201,0.91960524,0.013651953,0.043286231,FALSE
Trop3,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus trimaculatus,2.345639,,0.03467,2.93,14,Omnivr,BtPlDw,27.36245903,0.421520869,0.804408759,0.725653201,0.91960524,0.013651953,0.043286231,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus trimaculatus,2.345639,,0.03467,2.93,14,Omnivr,BtPlDw,27.36245903,0.421520869,0.804408759,0.725653201,0.91960524,0.013651953,0.043286231,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus trimaculatus,2.345639,,0.03467,2.93,14,Omnivr,BtPlDw,27.36245903,0.421520869,0.804408759,0.725653201,0.91960524,0.013651953,0.043286231,TRUE
Trop3,Tiaoshi,T5,Labridae,Halichoeres,Halichoeres melanochir,9.465417,,0.00955,3.09,18,InvMob,BtPlDw,27.36245903,9.91460015,0.56977874,0.481722891,0.664368123,0.043150798,0.004658893,TRUE
Trop3,Tiaoshi,T5,Tetraodontidae,Canthigaster,Canthigaster valentini,7.614955,,0.03388,2.85,11,Omnivr,BtPlDw,27.36245903,11.03304334,0.767604619,0.65977031,0.899041131,0.029390063,0.004383568,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Stegastes,Stegastes nigricans,8.051649,,0.02399,3.02,14,HerDet,BtPlDw,27.36245903,13.0557687,1.031388581,0.921281382,1.139100462,0.082366616,0.007619759,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon lacrymatus,6.230948,,0.0195,2.99,10,Omnivr,BtPlDw,27.36245903,4.631817623,0.927768379,0.798882291,1.147788346,0.021298985,0.006379351,TRUE
Trop3,Tiaoshi,T5,Labridae,Halichoeres,Halichoeres melanochir,9.238437,,0.00955,3.09,18,InvMob,BtPlDw,27.36245903,9.198197734,0.56977874,0.481722891,0.664368123,0.042110457,0.004844558,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon johnstonianus,7.038993,,0.02138,2.96,14,Omnivr,BtPlDw,27.36245903,6.896661006,0.804408759,0.725653201,0.91960524,0.044537292,0.007378674,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Chromis,Chromis margaritifer,4.161409,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.36245903,1.146178037,1.439081371,1.209460139,1.705173612,0.019547022,0.019501214,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon dickii,6.566842,,0.01995,2.98,11.6,Omnivr,BtPlDw,27.36245903,5.44083393,1.006149352,0.867740974,1.124909282,0.034280227,0.007872397,TRUE
Trop3,Tiaoshi,T5,Chaetodontidae,Chaetodon,Chaetodon trifascialis,11.376845,,0.02138,2.95,18,InvSes,BtPlDw,27.36245903,27.87867522,0.50073424,0.423588656,0.594335064,0.065688854,0.003044904,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus trimaculatus,14,,0.03467,2.93,14,Omnivr,BtPlDw,27.36245903,79.08770737,0.804408759,0.725653201,0.91960524,0,0.002438957,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus reticulatus,8.59014,,0.02951,2.99,9,Plktiv,BtPlDw,27.36245903,18.30753752,0.726795018,0.5995951,0.845137373,0.005195941,0.002560648,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus reticulatus,3.106845,,0.02951,2.99,9,Plktiv,BtPlDw,27.36245903,0.874993394,0.726795018,0.5995951,0.845137373,0.009908787,0.013166057,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus reticulatus,3.106845,,0.02951,2.99,9,Plktiv,BtPlDw,27.36245903,0.874993394,0.726795018,0.5995951,0.845137373,0.009908787,0.013166057,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus reticulatus,3.106845,,0.02951,2.99,9,Plktiv,BtPlDw,27.36245903,0.874993394,0.726795018,0.5995951,0.845137373,0.009908787,0.013166057,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus reticulatus,3.106845,,0.02951,2.99,9,Plktiv,BtPlDw,27.36245903,0.874993394,0.726795018,0.5995951,0.845137373,0.009908787,0.013166057,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus reticulatus,3.106845,,0.02951,2.99,9,Plktiv,BtPlDw,27.36245903,0.874993394,0.726795018,0.5995951,0.845137373,0.009908787,0.013166057,TRUE
Trop3,Tiaoshi,T5,Pomacentridae,Stegastes,Stegastes sp,8.818774,Cf,0.01829,3.03,15.2,HerDet,BtPlDw,27.36245903,13.39061708,0.898792356,0.760568425,1.041911691,0.072336131,0.006456186,TRUE
Trop3,Leidashih,T1,Pomacentridae,Chromis,Chromis margaritifer,6.796197,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.37590171,4.919692821,1.094781101,0.92203556,1.271716923,0.021949148,0.00673492,TRUE
Trop3,Leidashih,T1,Pomacentridae,Chromis,Chromis margaritifer,5.543144,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.37590171,2.685739495,1.094781101,0.92203556,1.271716923,0.020119451,0.009350465,TRUE
Trop3,Leidashih,T1,Pomacentridae,Stegastes,Stegastes nigricans,11.84996,Cf,0.02399,3.02,14,HerDet,BtPlDw,27.37590171,41.94258939,0.82477954,0.704455003,0.931294963,0.051895044,0.003270749,TRUE
Trop3,Leidashih,T1,Pomacentridae,Chromis,Chromis margaritifer,5.206978,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.37590171,2.230322902,1.094781101,0.92203556,1.271716923,0.019077134,0.010341358,TRUE
Trop3,Leidashih,T1,Pomacentridae,Stegastes,Stegastes nigricans,10.358619,Cf,0.02399,3.02,14,HerDet,BtPlDw,27.37590171,27.94099476,0.82477954,0.704455003,0.931294963,0.067006277,0.004061583,TRUE
Trop3,Leidashih,T1,Pomacentridae,Stegastes,Stegastes nigricans,8.29662,Cf,0.02399,3.02,14,HerDet,BtPlDw,27.37590171,14.29262072,0.82477954,0.704455003,0.931294963,0.067078721,0.005806313,TRUE
Trop3,Leidashih,T1,Pomacentridae,Stegastes,Stegastes nigricans,10.410313,Cf,0.02399,3.02,14,HerDet,BtPlDw,27.37590171,28.36422265,0.82477954,0.704455003,0.931294963,0.066721592,0.004029161,TRUE
Trop3,Leidashih,T1,Pomacentridae,Stegastes,Stegastes nigricans,10.567024,Cf,0.02399,3.02,14,HerDet,BtPlDw,27.37590171,29.67340494,0.82477954,0.704455003,0.931294963,0.065761004,0.003933395,TRUE
Trop3,Leidashih,T1,Pomacentridae,Stegastes,Stegastes nigricans,11.120998,Cf,0.02399,3.02,14,HerDet,BtPlDw,27.37590171,34.6245718,0.82477954,0.704455003,0.931294963,0.061136457,0.003622763,TRUE
Trop3,Leidashih,T1,Pomacentridae,Stegastes,Stegastes sp,12.206997,,0.01829,3.03,15.2,HerDet,BtPlDw,27.37590171,35.86232848,0.714035541,0.643984988,0.815298483,0.05209462,0.003038809,TRUE
Trop3,Leidashih,T1,Pomacentridae,Stegastes,Stegastes sp,9.83975,,0.01829,3.03,15.2,HerDet,BtPlDw,27.37590171,18.66188121,0.714035541,0.643984988,0.815298483,0.060265739,0.004299712,TRUE
Trop3,Leidashih,T1,Pomacentridae,Stegastes,Stegastes sp,7.130622,,0.01829,3.03,15.2,HerDet,BtPlDw,27.37590171,7.033796062,0.714035541,0.643984988,0.815298483,0.0472413,0.007221186,TRUE
Trop3,Leidashih,T1,Pomacentridae,Stegastes,Stegastes sp,12.317501,,0.01829,3.03,15.2,HerDet,BtPlDw,27.37590171,36.85506676,0.714035541,0.643984988,0.815298483,0.05109639,0.002995038,TRUE
Trop3,Leidashih,T1,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon lacrymatus,8.983208,,0.0195,2.99,10,Omnivr,BtPlDw,27.37590171,13.82912377,0.696631879,0.5832019,0.81431137,0.008925979,0.002657956,TRUE
Trop3,Leidashih,T1,Pomacentridae,Stegastes,Stegastes sp,10.006052,,0.01829,3.03,15.2,HerDet,BtPlDw,27.37590171,19.63404829,0.714035541,0.643984988,0.815298483,0.060413872,0.004185243,TRUE
Trop3,Leidashih,T1,Pomacentridae,Stegastes,Stegastes nigricans,8.010101,Cf,0.02399,3.02,14,HerDet,BtPlDw,27.37590171,12.85336926,0.82477954,0.704455003,0.931294963,0.065629639,0.006144325,TRUE
