Region,Site,Transect,Family,Genus,Species,Length,Comment,a,b,MaxSizeTL,Diet,Position,sstmean,Biomass,Kmax,somatic_G,Md,Growth_iter
KT,Tiaoshi,T4,Chaetodontidae,Chaetodon,Chaetodon baronessa,9.789671,,0.0448,2.83,16,InvSes,BtPlDw,27.39770492,28.52014491,0.506586403,0.071071187,0.003311454,0.070360475
KT,Tiaoshi,T4,Chaetodontidae,Chaetodon,Chaetodon baronessa,11.419096,,0.0448,2.83,16,InvSes,BtPlDw,27.39770492,44.09362387,0.506586403,0.069464368,0.002584451,0.069464368
KT,Tiaoshi,T4,Pomacentridae,Chromis,Chromis margaritifer,4.844541,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.39770492,1.800148845,1.09358114,0.017739059,0.011602394,0.017739059
KT,Tiaoshi,T4,Pomacentridae,Chromis,Chromis margaritifer,3.533482,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.39770492,0.705132369,1.09358114,0.011886204,0.019284026,0.011291893
KT,Tiaoshi,T4,Pomacentridae,Chromis,Chromis margaritifer,3.025907,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.39770492,0.44488642,1.09358114,0.009437463,0.024752945,0.009154339
KT,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus trimaculatus,3.019559,,0.0716,2.63,14,Omnivr,BtPlDw,27.39770492,1.309677841,0.604984581,0.020845732,0.021678474,0.02022036
KT,Tiaoshi,T5,Pomacentridae,Amphiprion,Amphiprion clarkii,5.100479,,0.01814123,2.99,20.1,Omnivr,BtPlDw,27.39770492,2.368227964,0.496642843,0.028427835,0.012881367,0.028143557
KT,Tiaoshi,T5,Pomacentridae,Chromis,Chromis margaritifer,4.302831,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.39770492,1.265780282,1.09358114,0.015476206,0.014043002,0.015166682
KT,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus trimaculatus,2.345639,,0.0716,2.63,14,Omnivr,BtPlDw,27.39770492,0.674062101,0.604984581,0.014685281,0.032554969,0.014538428
KT,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus trimaculatus,2.345639,,0.0716,2.63,14,Omnivr,BtPlDw,27.39770492,0.674062101,0.604984581,0.014685281,0.032554969,0.01409787
KT,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus trimaculatus,2.345639,,0.0716,2.63,14,Omnivr,BtPlDw,27.39770492,0.674062101,0.604984581,0.014685281,0.032554969,0.014391575
KT,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus trimaculatus,2.345639,,0.0716,2.63,14,Omnivr,BtPlDw,27.39770492,0.674062101,0.604984581,0.014685281,0.032554969,0.014391575
KT,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus trimaculatus,2.345639,,0.0716,2.63,14,Omnivr,BtPlDw,27.39770492,0.674062101,0.604984581,0.014685281,0.032554969,0.014538428
KT,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus trimaculatus,2.345639,,0.0716,2.63,14,Omnivr,BtPlDw,27.39770492,0.674062101,0.604984581,0.014685281,0.032554969,0.01409787
KT,Tiaoshi,T5,Labridae_Others,Halichoeres,Halichoeres melanochir,9.465417,,0.00977,3.09,18,InvMob,BtPlDw,27.39770492,10.14299932,0.49106358,0.038042604,0.004015265,0.037662178
KT,Tiaoshi,T5,Tetraodontidae,Canthigaster,Canthigaster valentini,7.614955,,0.03667,2.94,11,Omnivr,BtPlDw,27.39770492,14.33550159,0.557570189,0.028616608,0.003184122,0.028330442
KT,Tiaoshi,T5,Pomacentridae,Stegastes,Stegastes nigricans,8.051649,,0.022,3.09,14,HerDet,BtPlDw,27.39770492,13.8550092,0.823412716,0.071394919,0.006083261,0.06996702
KT,Tiaoshi,T5,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon lacrymatus,6.230948,,0.02089,2.98,10,Omnivr,BtPlDw,27.39770492,4.87202758,0.696154952,0.016753225,0.004786773,0.016585693
KT,Tiaoshi,T5,Labridae_Others,Halichoeres,Halichoeres melanochir,9.238437,,0.00977,3.09,18,InvMob,BtPlDw,27.39770492,9.410093389,0.49106358,0.03712503,0.00417528,0.03712503
KT,Tiaoshi,T5,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon johnstonianus,7.038993,,0.0612,2.63,14,Omnivr,BtPlDw,27.39770492,10.36821811,0.604984581,0.044719041,0.005549397,0.044719041
KT,Tiaoshi,T5,Pomacentridae,Chromis,Chromis margaritifer,4.161409,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.39770492,1.146178037,1.09358114,0.014841136,0.014819287,0.014692725
KT,Tiaoshi,T5,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon dickii,6.566842,,0.0612,2.75,11.6,Omnivr,BtPlDw,27.39770492,10.82634798,0.731443375,0.045744023,0.00572302,0.044829142
KT,Tiaoshi,T5,Chaetodontidae,Chaetodon,Chaetodon trifascialis,11.376845,,0.0468,2.76,18,InvSes,BtPlDw,27.39770492,38.44732553,0.431715712,0.073068373,0.002625211,0.073068373
KT,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus trimaculatus,14,,0.0716,2.63,14,Omnivr,BtPlDw,27.39770492,73.99966542,0.604984581,0,0.001834305,0
KT,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus reticulatus,8.59014,,0.023348532,3.13,9,Plktiv,BtPlDw,27.39770492,19.57403398,0.524037212,0.0041942,0.001846291,0.0041942
KT,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus reticulatus,3.106845,,0.023348532,3.13,9,Plktiv,BtPlDw,27.39770492,0.81137176,0.524037212,0.006931196,0.009493053,0.006792572
KT,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus reticulatus,3.106845,,0.023348532,3.13,9,Plktiv,BtPlDw,27.39770492,0.81137176,0.524037212,0.006931196,0.009493053,0.006861884
KT,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus reticulatus,3.106845,,0.023348532,3.13,9,Plktiv,BtPlDw,27.39770492,0.81137176,0.524037212,0.006931196,0.009493053,0.006931196
KT,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus reticulatus,3.106845,,0.023348532,3.13,9,Plktiv,BtPlDw,27.39770492,0.81137176,0.524037212,0.006931196,0.009493053,0.006861884
KT,Tiaoshi,T5,Pomacentridae,Dascyllus,Dascyllus reticulatus,3.106845,,0.023348532,3.13,9,Plktiv,BtPlDw,27.39770492,0.81137176,0.524037212,0.006931196,0.009493053,0.006931196
KT,Tiaoshi,T5,Pomacentridae,Stegastes,Stegastes sp,8.818774,Cf,0.067094254,3.03,15.2,HerDet,BtPlDw,27.39770492,49.12156688,0.716517001,0.211516172,0.005146869,0.211516172
KT,Leidashih,T1,Pomacentridae,Chromis,Chromis margaritifer,6.796197,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.41065579,4.919692821,1.094781101,0.021949148,0.00673492,0.021949148
KT,Leidashih,T1,Pomacentridae,Chromis,Chromis margaritifer,5.543144,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.41065579,2.685739495,1.094781101,0.020119451,0.009350465,0.019918256
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes nigricans,11.84996,Cf,0.022,3.09,14,HerDet,BtPlDw,27.41065579,45.73070046,0.823412716,0.057798485,0.003265328,0.057798485
KT,Leidashih,T1,Pomacentridae,Chromis,Chromis margaritifer,5.206978,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.41065579,2.230322902,1.094781101,0.019077134,0.010341358,0.018886363
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes nigricans,10.358619,Cf,0.022,3.09,14,HerDet,BtPlDw,27.41065579,30.17904044,0.823412716,0.073930314,0.004054852,0.073191011
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes nigricans,8.29662,Cf,0.022,3.09,14,HerDet,BtPlDw,27.41065579,15.19943295,0.823412716,0.072871003,0.00579669,0.072871003
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes nigricans,10.410313,Cf,0.022,3.09,14,HerDet,BtPlDw,27.41065579,30.64684584,0.823412716,0.073641832,0.004022484,0.073641832
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes nigricans,10.567024,Cf,0.022,3.09,14,HerDet,BtPlDw,27.41065579,32.09493531,0.823412716,0.072657456,0.003926876,0.072657456
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes nigricans,11.120998,Cf,0.022,3.09,14,HerDet,BtPlDw,27.41065579,37.5843382,0.823412716,0.067789627,0.003616759,0.067789627
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes sp,12.206997,,0.067094254,3.03,15.2,HerDet,BtPlDw,27.41065579,131.5558317,0.716461122,0.191750528,0.003049132,0.191750528
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes sp,9.83975,,0.067094254,3.03,15.2,HerDet,BtPlDw,27.41065579,68.45844673,0.716461122,0.221827333,0.004314318,0.221827333
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes sp,7.130622,,0.067094254,3.03,15.2,HerDet,BtPlDw,27.41065579,25.80247659,0.716461122,0.173887404,0.007245717,0.173887404
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes sp,12.317501,,0.067094254,3.03,15.2,HerDet,BtPlDw,27.41065579,135.1975504,0.716461122,0.188076216,0.003005212,0.188076216
KT,Leidashih,T1,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon lacrymatus,8.983208,,0.02089,2.98,10,Omnivr,BtPlDw,27.41065579,14.49319641,0.696154952,0.009316929,0.002656136,0.009316929
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes sp,10.006052,,0.067094254,3.03,15.2,HerDet,BtPlDw,27.41065579,72.02470286,0.716461122,0.222372546,0.00419946,0.222372546
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes nigricans,8.010101,Cf,0.022,3.09,14,HerDet,BtPlDw,27.41065579,13.6352805,0.823412716,0.07112193,0.006134143,0.069699491
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes sp,11.73925,,0.067094254,3.03,15.2,HerDet,BtPlDw,27.41065579,116.8679944,0.716461122,0.204831383,0.003247099,0.202783069
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes sp,9.457492,Cf,0.067094254,3.03,15.2,HerDet,BtPlDw,27.41065579,60.71367944,0.716461122,0.21930734,0.00459851,0.217114266
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes sp,12.731149,Cf,0.067094254,3.03,15.2,HerDet,BtPlDw,27.41065579,149.4287477,0.716461122,0.172244466,0.002849572,0.172244466
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes sp,10.029948,Cf,0.067094254,3.03,15.2,HerDet,BtPlDw,27.41065579,72.5471458,0.716461122,0.222422278,0.004183364,0.220198055
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes sp,8.743759,Cf,0.067094254,3.03,15.2,HerDet,BtPlDw,27.41065579,47.86640466,0.716461122,0.210313284,0.00521774,0.208210151
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes sp,7.628502,Cf,0.067094254,3.03,15.2,HerDet,BtPlDw,27.41065579,31.6574768,0.716461122,0.187065092,0.00649964,0.185194441
KT,Leidashih,T1,Pomacentridae,Stegastes,Stegastes sp,5.911007,Cf,0.067094254,3.03,15.2,HerDet,BtPlDw,27.41065579,14.61569903,0.716461122,0.136899134,0.009800349,0.135530142
KT,Leidashih,T1,Labridae_Others,Halichoeres,Halichoeres nebulosus,12,,0.00977,3.09,12,InvMob,BtPlDw,27.41065579,21.11371301,0.857264698,0,0.00266823,0
KT,Leidashih,T1,Labridae_Others,Thalassoma,Thalassoma lutescens,4.972782,,0.01,3.05,30,InvMob,BtPlDw,27.41065579,1.332380394,0.447919995,0.025242203,0.021542648,0.024989781
KT,Leidashih,T1,Labridae_Others,Thalassoma,Thalassoma lunare,3.544401,,0.01259,2.96,45,InvMob,BtPlDw,27.41065579,0.532932944,0.153506219,0.007795389,0.022832691,0.007717435
KT,Leidashih,T2,Labridae_Others,Thalassoma,Thalassoma lutescens,9.012473,,0.01,3.05,30,InvMob,BtPlDw,27.41065579,8.170979648,0.447919995,0.071384374,0.008270378,0.071384374
KT,Leidashih,T2,Pomacentridae,Chromis,Chromis margaritifer,6.326344,,0.0166,2.97,10.2,Plktiv,BtPlDw,27.41065579,3.976783186,1.094781101,0.02169822,0.007558309,0.021481238
KT,Leidashih,T2,Labridae_Others,Thalassoma,Thalassoma lutescens,8.299127,,0.01,3.05,30,InvMob,BtPlDw,27.41065579,6.35402402,0.447919995,0.062353586,0.009444565,0.062353586
KT,Leidashih,T2,Pomacentridae,Stegastes,Stegastes sp,6.42299,,0.067094254,3.03,15.2,HerDet,BtPlDw,27.41065579,18.79875903,0.716461122,0.153050749,0.008573527,0.151520241
KT,Leidashih,T2,Labridae_Others,Thalassoma,Thalassoma lutescens,6.717739,,0.01,3.05,30,InvMob,BtPlDw,27.41065579,3.334498572,0.447919995,0.043417455,0.013273789,0.04298328
